,Transaction,Date,Price
452,Buy,2008-09-08,142.85000610351562
453,Buy,2008-09-18,137.35499572753906
454,Buy,2008-10-29,113.6500015258789
455,Buy,2008-11-24,113.48500061035156
456,Buy,2008-11-28,110.86000061035156
457,Buy,2008-12-02,111.07499694824219
458,Buy,2009-02-18,138.32000732421875
459,Buy,2009-03-16,129.10499572753906
460,Buy,2009-03-30,138.7449951171875
461,Buy,2009-05-11,156.92999267578125
462,Buy,2009-06-29,161.0050048828125
463,Buy,2009-07-13,160.96499633789062
464,Buy,2009-07-20,165.82000732421875
465,Buy,2009-10-08,157.22999572753906
466,Buy,2009-11-11,169.19000244140625
467,Buy,2009-11-13,167.13999938964844
468,Buy,2009-12-01,162.55499267578125
469,Buy,2009-12-16,163.88499450683594
470,Buy,2009-12-23,163.89500427246094
471,Buy,2009-12-29,164.47000122070312
472,Buy,2010-02-10,162.63499450683594
473,Buy,2010-02-25,164.59500122070312
474,Buy,2010-03-31,159.90499877929688
475,Buy,2010-05-05,165.0
476,Buy,2010-05-10,165.00999450683594
477,Buy,2010-07-07,192.2550048828125
478,Buy,2010-07-22,193.74000549316406
479,Buy,2010-07-30,196.8350067138672
480,Buy,2010-08-20,204.39500427246094
481,Buy,2010-08-27,200.55999755859375
482,Buy,2010-08-31,204.97500610351562
483,Buy,2010-10-06,217.52499389648438
484,Buy,2010-11-08,209.375
485,Buy,2010-12-08,205.5749969482422
486,Buy,2010-12-10,201.1750030517578
487,Buy,2010-12-21,202.0
488,Buy,2010-12-30,200.6999969482422
489,Buy,2011-01-20,194.0749969482422
490,Buy,2011-01-31,189.14999389648438
491,Buy,2011-02-14,181.27499389648438
492,Buy,2011-02-18,184.0500030517578
493,Buy,2011-02-22,179.6999969482422
494,Buy,2011-03-09,174.9250030517578
495,Buy,2011-03-25,177.1999969482422
496,Buy,2011-04-28,189.875
497,Buy,2011-05-10,183.9499969482422
498,Buy,2011-08-08,237.27499389648438
499,Buy,2011-10-19,226.27499389648438
500,Buy,2011-10-24,225.52499389648438
501,Buy,2011-11-21,239.0
502,Buy,2011-11-25,237.27499389648438
503,Buy,2011-12-28,225.1750030517578
504,Buy,2011-12-30,224.3000030517578
505,Buy,2012-01-06,221.5749969482422
506,Buy,2012-01-17,222.0749969482422
507,Buy,2012-01-31,226.77499389648438
508,Buy,2012-05-10,276.82501220703125
509,Buy,2012-05-22,265.57501220703125
510,Buy,2012-05-28,268.7250061035156
511,Buy,2012-05-31,267.32501220703125
512,Buy,2012-06-05,259.375
513,Buy,2012-06-13,269.6499938964844
514,Buy,2012-06-19,260.32501220703125
515,Buy,2012-08-03,236.5749969482422
516,Buy,2012-10-05,243.125
517,Buy,2012-10-16,247.8000030517578
518,Buy,2012-11-16,238.52499389648438
519,Buy,2013-01-31,241.0
520,Buy,2013-02-12,238.47500610351562
521,Buy,2013-03-01,251.0500030517578
522,Buy,2013-04-01,263.7250061035156
523,Buy,2013-04-10,262.4750061035156
524,Buy,2013-05-15,285.2749938964844
525,Buy,2013-05-23,287.67498779296875
526,Buy,2013-06-28,337.1499938964844
527,Buy,2013-08-01,351.625
528,Buy,2013-08-12,367.5
529,Buy,2013-08-23,357.2749938964844
530,Buy,2013-08-29,352.42498779296875
531,Buy,2013-09-02,358.6000061035156
532,Buy,2013-12-03,452.57501220703125
533,Buy,2013-12-11,444.625
534,Buy,2013-12-13,444.875
535,Buy,2013-12-17,443.79998779296875
536,Buy,2013-12-20,446.8500061035156
537,Buy,2014-01-31,441.2749938964844
538,Buy,2014-03-05,445.5249938964844
539,Buy,2014-03-31,421.70001220703125
540,Buy,2014-04-09,427.375
541,Buy,2014-05-13,437.07501220703125
542,Buy,2014-05-23,433.5249938964844
543,Buy,2014-06-23,466.2749938964844
544,Buy,2014-07-21,516.1749877929688
545,Buy,2014-10-20,680.0250244140625
546,Buy,2014-11-26,826.0250244140625
547,Buy,2014-12-18,871.0999755859375
548,Buy,2014-12-22,894.2000122070312
549,Buy,2014-12-29,890.0999755859375
550,Buy,2015-02-10,966.625
551,Buy,2015-03-24,1074.375
552,Buy,2015-04-30,1098.925048828125
553,Buy,2015-09-11,1476.925048828125
554,Buy,2015-09-28,1460.5250244140625
555,Buy,2015-12-01,1485.7249755859375
556,Buy,2015-12-10,1433.2249755859375
557,Buy,2015-12-15,1440.0250244140625
558,Buy,2015-12-17,1455.375
559,Buy,2016-01-11,1459.6500244140625
560,Buy,2016-02-01,1400.25
561,Buy,2016-02-18,1376.75
562,Buy,2016-03-31,1343.25
563,Buy,2016-05-11,1423.7249755859375
564,Buy,2016-06-02,1399.75
565,Buy,2016-06-07,1397.574951171875
566,Buy,2016-06-09,1380.625
567,Buy,2016-06-27,1341.6500244140625
568,Buy,2016-07-20,1404.7249755859375
569,Buy,2016-07-28,1432.6500244140625
570,Buy,2016-08-04,1440.425048828125
571,Buy,2016-09-30,1682.0
572,Buy,2016-10-14,1665.375
573,Buy,2016-10-28,1655.9749755859375
574,Buy,2016-11-09,1562.0999755859375
575,Buy,2016-11-29,1502.7249755859375
