Date,IC,NStocks,Model
2024-08-21,0.0781954887218045,20,RandomForest
2024-08-22,0.11428571428571428,20,RandomForest
2024-08-23,-0.018045112781954885,20,RandomForest
2024-08-26,0.11428571428571428,20,RandomForest
2024-08-27,0.07669172932330826,20,RandomForest
2024-08-28,0.13233082706766916,20,RandomForest
2024-08-29,-0.20300751879699244,20,RandomForest
2024-08-30,-0.3383458646616541,20,RandomForest
2024-09-02,-0.4090225563909774,20,RandomForest
2024-09-03,-0.26315789473684204,20,RandomForest
2024-09-04,-0.23157894736842105,20,RandomForest
2024-09-05,-0.22255639097744356,20,RandomForest
2024-09-06,-0.10676691729323308,20,RandomForest
2024-09-09,-0.15789473684210525,20,RandomForest
2024-09-10,-0.3383458646616541,20,RandomForest
2024-09-11,-0.09473684210526315,20,RandomForest
2024-09-12,0.022556390977443608,20,RandomForest
2024-09-13,0.09323308270676692,20,RandomForest
2024-09-16,0.156390977443609,20,RandomForest
2024-09-17,0.30075187969924805,20,RandomForest
2024-09-18,0.24511278195488717,20,RandomForest
2024-09-19,0.16691729323308271,20,RandomForest
2024-09-20,0.27669172932330827,20,RandomForest
2024-09-23,0.1894736842105263,20,RandomForest
2024-09-24,0.10977443609022557,20,RandomForest
2024-09-25,0.29624060150375936,20,RandomForest
2024-09-26,0.2646616541353383,20,RandomForest
2024-09-27,0.24360902255639094,20,RandomForest
2024-09-30,0.156390977443609,20,RandomForest
2024-10-01,0.0015037593984962405,20,RandomForest
2024-10-03,0.3533834586466165,20,RandomForest
2024-10-04,0.3082706766917293,20,RandomForest
2024-10-07,0.3654135338345864,20,RandomForest
2024-10-08,0.46917293233082696,20,RandomForest
2024-10-09,0.23759398496240602,20,RandomForest
2024-10-10,0.38195488721804516,20,RandomForest
2024-10-11,0.03308270676691729,20,RandomForest
2024-10-14,0.03609022556390977,20,RandomForest
2024-10-15,-0.20751879699248119,20,RandomForest
2024-10-16,-0.16842105263157892,20,RandomForest
2024-10-17,-0.19248120300751878,20,RandomForest
2024-10-18,-0.09323308270676692,20,RandomForest
2024-10-21,0.030075187969924807,20,RandomForest
2024-10-22,-0.025563909774436087,20,RandomForest
2024-10-23,0.13233082706766916,20,RandomForest
2024-10-24,-0.13082706766917293,20,RandomForest
2024-10-25,-0.22105263157894736,20,RandomForest
2024-10-28,-0.40751879699248117,20,RandomForest
2024-10-29,-0.3639097744360902,20,RandomForest
2024-10-30,-0.18496240601503755,20,RandomForest
2024-10-31,-0.07669172932330826,20,RandomForest
2024-11-01,-0.15939849624060148,20,RandomForest
2024-11-04,0.16240601503759397,20,RandomForest
2024-11-05,0.07368421052631578,20,RandomForest
2024-11-06,0.29624060150375936,20,RandomForest
2024-11-07,0.14887218045112782,20,RandomForest
2024-11-08,0.17593984962406017,20,RandomForest
2024-11-11,-0.12180451127819547,20,RandomForest
2024-11-12,-0.12180451127819547,20,RandomForest
2024-11-13,-0.02706766917293233,20,RandomForest
2024-11-14,0.09624060150375939,20,RandomForest
2024-11-18,0.09473684210526315,20,RandomForest
2024-11-19,0.02857142857142857,20,RandomForest
2024-11-21,-0.048120300751879695,20,RandomForest
2024-11-22,-0.19097744360902258,20,RandomForest
2024-11-25,-0.23458646616541348,20,RandomForest
2024-11-26,-0.1894736842105263,20,RandomForest
2024-11-27,-0.1263157894736842,20,RandomForest
2024-11-28,0.015037593984962403,20,RandomForest
2024-11-29,0.0631578947368421,20,RandomForest
2024-12-02,0.10827067669172932,20,RandomForest
2024-12-03,-0.007518796992481202,20,RandomForest
2024-12-04,0.018045112781954885,20,RandomForest
2024-12-05,-0.14736842105263157,20,RandomForest
2024-12-06,-0.07518796992481201,20,RandomForest
2024-12-09,0.1819548872180451,20,RandomForest
2024-12-10,0.2045112781954887,20,RandomForest
2024-12-11,0.07218045112781954,20,RandomForest
2024-12-12,0.003007518796992481,20,RandomForest
2024-12-13,0.23759398496240602,20,RandomForest
2024-12-16,0.19849624060150375,20,RandomForest
2024-12-17,0.024060150375939848,20,RandomForest
2024-12-18,0.08120300751879699,20,RandomForest
2024-12-19,0.34736842105263155,20,RandomForest
2024-12-20,0.05864661654135337,20,RandomForest
2024-12-23,0.26315789473684204,20,RandomForest
2024-12-24,0.23909774436090225,20,RandomForest
2024-12-26,0.3383458646616541,20,RandomForest
2024-12-27,0.24360902255639094,20,RandomForest
2024-12-30,0.21654135338345865,20,RandomForest
2024-12-31,0.013533834586466165,20,RandomForest
2025-01-01,0.24812030075187969,20,RandomForest
2025-01-02,0.11729323308270674,20,RandomForest
2025-01-03,0.13984962406015036,20,RandomForest
2025-01-06,0.003007518796992481,20,RandomForest
2025-01-07,-0.18646616541353384,20,RandomForest
2025-01-08,-0.1263157894736842,20,RandomForest
2025-01-09,-0.06616541353383458,20,RandomForest
2025-01-10,-0.04962406015037594,20,RandomForest
2025-01-13,0.10526315789473684,20,RandomForest
2025-01-14,-0.15488721804511277,20,RandomForest
2025-01-15,-0.1969924812030075,20,RandomForest
2025-01-16,-0.26616541353383455,20,RandomForest
2025-01-17,0.28421052631578947,20,RandomForest
2025-01-20,0.22105263157894736,20,RandomForest
2025-01-21,-0.1639097744360902,20,RandomForest
2025-01-22,-0.22406015037593985,20,RandomForest
2025-01-23,0.20601503759398496,20,RandomForest
2025-01-24,-0.1533834586466165,20,RandomForest
2025-01-27,-0.2571428571428572,20,RandomForest
2025-01-28,-0.0015037593984962405,20,RandomForest
2025-01-29,-0.15488721804511277,20,RandomForest
2025-01-30,-0.12781954887218044,20,RandomForest
2025-01-31,-0.20751879699248119,20,RandomForest
2025-02-01,-0.07669172932330826,20,RandomForest
2025-02-03,-0.0015037593984962405,20,RandomForest
2025-02-04,0.1413533834586466,20,RandomForest
2025-02-05,0.12330827067669171,20,RandomForest
2025-02-06,0.16240601503759397,20,RandomForest
2025-02-07,0.12330827067669171,20,RandomForest
2025-02-10,0.10526315789473684,20,RandomForest
2025-02-11,-0.09624060150375939,20,RandomForest
2025-02-12,0.21052631578947367,20,RandomForest
2025-02-13,0.2796992481203007,20,RandomForest
2025-02-14,0.312781954887218,20,RandomForest
2025-02-17,0.06616541353383458,20,RandomForest
2025-02-18,-0.08571428571428572,20,RandomForest
2025-02-19,0.05563909774436089,20,RandomForest
2025-02-20,-0.35037593984962395,20,RandomForest
2025-02-21,-0.4360902255639097,20,RandomForest
2025-02-24,-0.29473684210526313,20,RandomForest
2025-02-25,-0.11578947368421053,20,RandomForest
2025-02-27,-0.060150375939849614,20,RandomForest
2025-02-28,0.016541353383458645,20,RandomForest
2025-03-03,-0.19849624060150375,20,RandomForest
2025-03-04,0.05263157894736842,20,RandomForest
2025-03-05,-0.16842105263157892,20,RandomForest
2025-03-06,-0.2300751879699248,20,RandomForest
2025-03-07,0.013533834586466165,20,RandomForest
2025-03-10,-0.08120300751879699,20,RandomForest
2025-03-11,-0.18345864661654135,20,RandomForest
2025-03-12,0.20902255639097742,20,RandomForest
2025-03-13,-0.07669172932330826,20,RandomForest
2025-03-17,-0.04661654135338346,20,RandomForest
2025-03-18,-0.003007518796992481,20,RandomForest
2025-03-20,-0.1533834586466165,20,RandomForest
2025-03-21,-0.03308270676691729,20,RandomForest
2025-03-24,-0.10977443609022557,20,RandomForest
2025-03-25,-0.28421052631578947,20,RandomForest
2025-03-26,0.009022556390977442,20,RandomForest
2025-03-27,-0.24812030075187969,20,RandomForest
2025-03-28,0.04661654135338346,20,RandomForest
2025-04-01,0.13233082706766916,20,RandomForest
2025-04-02,0.2300751879699248,20,RandomForest
2025-04-03,0.17593984962406017,20,RandomForest
2025-04-04,0.0015037593984962405,20,RandomForest
2025-04-07,0.06616541353383458,20,RandomForest
2025-04-08,-0.08421052631578946,20,RandomForest
2025-04-09,-0.08120300751879699,20,RandomForest
2025-04-11,-0.20902255639097742,20,RandomForest
2025-04-15,0.15789473684210525,20,RandomForest
2025-04-16,0.16842105263157892,20,RandomForest
2025-04-17,0.5458646616541353,20,RandomForest
2025-04-21,0.4195488721804511,20,RandomForest
2025-04-22,0.3804511278195489,20,RandomForest
2025-04-23,0.2992481203007519,20,RandomForest
2025-04-24,0.2992481203007519,20,RandomForest
2025-04-25,0.07368421052631578,20,RandomForest
2025-04-28,0.29323308270676685,20,RandomForest
