Date,PortfolioValue,GrossReturn,TransactionCost,NetReturn,Turnover,NStocks,Strategy,RiskProfile,CostBps
2025-05-23,1032787.1626533542,-0.0007727518322313554,0.0008050330660812824,-0.0015771628075358368,0.8050330660812823,10,XGB_Risk,aggressive,10.0
2025-05-30,1039101.1478189846,0.00652325740019255,0.0004070624768616875,0.006113539550016256,0.40706247686168745,10,XGB_Risk,aggressive,10.0
2025-06-06,1031238.7025403911,-0.007556121568087937,1.0541273825191238e-05,-0.00756658319076664,0.010541273825191239,10,XGB_Risk,aggressive,10.0
2025-06-13,1051306.217392022,0.020695672644668983,0.0012109888916752418,0.019459621523315374,1.2109888916752418,10,XGB_Risk,aggressive,10.0
2025-06-20,1077712.4933042866,0.026349206555120297,0.0011999999999999995,0.025117587507254235,1.1999999999999995,10,XGB_Risk,aggressive,10.0
2025-06-27,1066257.0055849983,-0.009430332487633697,0.0012105301121808616,-0.01062944689837042,1.2105301121808616,10,XGB_Risk,aggressive,10.0
2025-07-04,1063345.6868030094,-0.0019264845810661457,0.0008054771501498391,-0.00273040999190588,0.8054771501498392,10,XGB_Risk,aggressive,10.0
2025-07-11,1044475.1500716443,-0.016170768064297958,0.0016015096731001228,-0.017746380095921666,1.6015096731001228,10,XGB_Risk,aggressive,10.0
2025-07-18,1019473.1935403638,-0.022373136772266267,0.0015999999999999999,-0.02393733975343071,1.5999999999999999,10,XGB_Risk,aggressive,10.0
2025-07-25,992734.9011769112,-0.025057627202106802,0.0011999999999999997,-0.026227558049464306,1.1999999999999997,10,XGB_Risk,aggressive,10.0
2025-08-01,994618.8660503182,0.002707031607930732,0.000807094546576245,0.0018977522309062689,0.8070945465762451,10,XGB_Risk,aggressive,10.0
2025-08-08,1026218.1778699313,0.032193312065668334,0.00040984586157781744,0.031770271908369896,0.40984586157781744,10,XGB_Risk,aggressive,10.0
2025-08-18,1034192.4787068401,0.008601149611164649,0.0008234959652841774,0.0077705706338788705,0.8234959652841773,10,XGB_Risk,aggressive,10.0
2025-08-25,1021462.5555294076,-0.011501245917409975,0.0008171992637605037,-0.012309046371474341,0.8171992637605037,10,XGB_Risk,aggressive,10.0
2025-09-02,1010458.8757266726,-0.009974808551330261,0.0008057031439819998,-0.010772474960701772,0.8057031439819997,10,XGB_Risk,aggressive,10.0
2025-09-09,1025341.0562619073,0.015540573200094165,0.0007999999999999994,0.014728140741534057,0.7999999999999994,10,XGB_Risk,aggressive,10.0
2025-09-16,1018088.4160904889,-0.005482164386402588,0.0015999999999999996,-0.007073392923384381,1.5999999999999996,10,XGB_Risk,aggressive,10.0
2025-09-23,987852.2105821988,-0.027754506694158243,0.002,-0.02969899768076989,2.0,10,XGB_Risk,aggressive,10.0
2025-09-30,1026260.735370318,0.03971261114659219,0.0007999999999999988,0.038880841057674864,0.7999999999999988,10,XGB_Risk,aggressive,10.0
2025-10-08,1036908.0103584379,0.011599213434011268,0.0012103498594163843,0.01037482446824578,1.2103498594163844,10,XGB_Risk,aggressive,10.0
2025-10-15,1055110.308727512,0.01877693269732017,0.0012000000000000001,0.017554400378083423,1.2000000000000002,10,XGB_Risk,aggressive,10.0
2025-10-23,1051171.9349089502,-0.002133095974616861,0.0016029888264181718,-0.003732665472022001,1.6029888264181718,10,XGB_Risk,aggressive,10.0
2025-10-30,1016473.6353976922,-0.031843410898933056,0.0012040884586799782,-0.03300915707406471,1.2040884586799783,10,XGB_Risk,aggressive,10.0
2025-11-07,1065986.4817646455,0.04956526077947254,0.0008144819192814172,0.04871040885146183,0.8144819192814171,10,XGB_Risk,aggressive,10.0
2025-11-14,1073220.0194969417,0.008007655607977338,0.0012121801588551567,0.006785768727875174,1.2121801588551566,10,XGB_Risk,aggressive,10.0
2025-11-21,1077977.9317997175,0.005646752504295138,0.0012066333626811702,0.004433305581651448,1.20663336268117,10,XGB_Risk,aggressive,10.0
2025-11-28,1085373.1643327742,0.00807390199078517,0.0012038998849915764,0.006860281936115431,1.2038998849915763,10,XGB_Risk,aggressive,10.0
2025-12-05,1070376.4538076927,-0.0122366795867338,0.0015999999999999999,-0.01381710089939503,1.5999999999999999,10,XGB_Risk,aggressive,10.0
2025-12-12,1062885.4923641083,-0.006199071990042215,0.0008043505505579329,-0.0069984363136320615,0.8043505505579329,10,XGB_Risk,aggressive,10.0
